transaction_id,customer_id,date,amount_usd,country,merchant,channel
T00001,C0274,2025-03-19,938.54,canada,unknown vendor,online
T00002,C0468,2024-11-30,6020.24,brazil,bestbuy,online
T00003,C0479,2024-08-08,2633.49,brazil,luxury retailer,wire
T00004,C0404,2025-05-01,1825.89,us,crypto exchange,wire
T00005,C0449,2025-03-03,339.25,us,amazon,in-person
T00006,C0055,2024-10-28,339.19,brazil,bestbuy,wire
T00007,C0329,2025-05-11,119.68,uk,bestbuy,online
T00008,C0436,2024-10-09,4022.46,uk,amazon,online
T00009,C0170,2025-04-08,1838.16,us,bestbuy,not recorded
T00010,C0368,2024-08-03,2462.5,us,walmart,wire
T00011,C0291,2024-08-06,41.6,mexico,amazon,in-person
T00012,C0439,2024-10-18,7007.11,mexico,bestbuy,not recorded
T00013,C0264,2024-09-03,3572.86,us,bestbuy,online
T00014,C0095,2024-11-30,477.38,germany,bestbuy,online
T00015,C0004,2025-04-08,401.36,us,amazon,wire
T00016,C0489,2025-05-06,405.22,us,ebay,in-person
T00017,C0006,2025-03-09,725.51,us,bestbuy,online
T00018,C0032,2024-09-03,1487.86,mexico,bestbuy,online
T00019,C0208,2025-04-19,1131.07,mexico,crypto exchange,in-person
T00020,C0395,2024-12-04,688.45,us,amazon,wire
T00021,C0189,2024-11-05,1892.74,mexico,amazon,online
T00022,C0245,2024-11-23,300.47,us,walmart,in-person
T00023,C0192,2024/08/16,691.03,us,ebay,wire
T00024,C0388,2024-08-10,912.55,uk,ebay,online
T00025,C0391,2024-07-08,1217.87,us,walmart,online
T00026,C0270,2024-11-02,3075.87,us,walmart,online
T00027,C0470,2024-12-25,445.47,uk,amazon,in-person
T00028,C0463,2024-11-22,1444.06,uk,ebay,online
T00029,C0085,2025-04-27,1795.01,us,ebay,online
T00030,C0349,2024-10-18,95.13,us,ebay,online
T00031,C0461,2024-08-14,1870.67,uk,walmart,wire
T00032,C0068,2024-08-26,373.92,uk,bestbuy,online
T00033,C0287,2024-08-08,134.53,us,walmart,not recorded
T00034,C0012,2024-09-16,5947.38,us,not recorded,in-person
T00035,C0112,2024-12-20,6741.26,uk,amazon,wire
T00036,C0359,2024-12-27,3304.66,us,luxury retailer,online
T00037,C0479,2025-02-07,726.58,us,amazon,online
T00038,C0394,2025-02-06,205.55,us,ebay,in-person
T00039,C0331,2025-01-21,2305.5,germany,bestbuy,wire
T00040,C0230,2024-12-11,1160.18,china,crypto exchange,wire
